isolate,glucose_vv,experiment_repeat,well_id,time_s,OD,,,,,,
NCTC12156,1,1,A2,82799.8,1.181599975,,,,,,
NCTC12156,1,1,A3,82799.8,1.152099967,,,,,,
NCTC12156,1,2,A1,82799.8,1.076599956,,,,,,
NCTC12156,1,2,A2,82799.8,1.152999997,,,,,,
NCTC12156,1,2,A3,82799.8,1.139999986,,,,,,
NCTC12156,1,3,A1,82799.8,1.10739994,,,,,,
NCTC12156,1,3,A2,82799.8,1.228500009,,,,,,
NCTC12156,1,3,A3,82799.8,1.219900012,,,,,,
NCTC12156,1,1,A1,86399.8,1.018399954,,,,,,
NCTC12156,1,1,A2,86399.8,1.193500042,,,,,,
NCTC12156,1,1,A3,86399.8,1.16779995,,,,,,
NCTC12156,1,2,A1,86399.8,1.06159997,,,,,,
NCTC12156,1,2,A2,86399.8,1.162099957,,,,,,
NCTC12156,1,2,A3,86399.8,1.150200009,,,,,,
NCTC12156,1,3,A1,86399.8,1.113600016,,,,,,
NCTC12156,1,3,A2,86399.8,1.215399981,,,,,,
NCTC12156,1,3,A3,86399.8,1.226999998,,,,,,
NCTC12156,1,1,A1,89999.8,0.985800028,,,,,,
NCTC12156,1,1,A2,89999.8,1.182100058,,,,,,
NCTC12156,1,1,A3,89999.8,1.160899997,,,,,,
NCTC12156,1,2,A1,89999.8,1.044700027,,,,,,
NCTC12156,1,2,A2,89999.8,1.161299944,,,,,,
NCTC12156,1,2,A3,89999.8,1.156599998,,,,,,
NCTC12156,1,3,A1,89999.8,1.092599988,,,,,,
NCTC12156,1,3,A2,89999.8,1.236700058,,,,,,
NCTC12156,1,3,A3,89999.8,1.245300055,,,,,,
NCTC12156,1,1,A1,93599.8,0.985099971,,,,,,
NCTC12156,1,1,A2,93599.8,1.186800003,,,,,,
NCTC12156,1,1,A3,93599.8,1.149999976,,,,,,
NCTC12156,1,2,A1,93599.8,1.014999986,,,,,,
NCTC12156,1,2,A2,93599.8,1.147600055,,,,,,
NCTC12156,1,2,A3,93599.8,1.14289999,,,,,,
NCTC12156,1,3,A1,93599.8,1.041900039,,,,,,
NCTC12156,1,3,A2,93599.8,1.229599953,,,,,,
NCTC12156,1,3,A3,93599.8,1.23269999,,,,,,
NCTC12156,1,1,A1,97199.8,0.958800018,,,,,,
NCTC12156,1,1,A2,97199.8,1.189200044,,,,,,
NCTC12156,1,1,A3,97199.8,1.158200026,,,,,,
NCTC12156,1,2,A1,97199.8,0.984099984,,,,,,
NCTC12156,1,2,A2,97199.8,1.159399986,,,,,,
NCTC12156,1,2,A3,97199.8,1.132099986,,,,,,
NCTC12156,1,3,A1,97199.8,1.04460001,,,,,,
NCTC12156,1,3,A2,97199.8,1.200299978,,,,,,
NCTC12156,1,3,A3,97199.8,1.240200043,,,,,,
NCTC12156,1,1,A1,100799.8,0.931100011,,,,,,
NCTC12156,1,1,A2,100799.8,1.176200032,,,,,,
NCTC12156,1,1,A3,100799.8,1.165699959,,,,,,
NCTC12156,1,2,A1,100799.8,0.973500013,,,,,,
NCTC12156,1,2,A2,100799.8,1.163599968,,,,,,
NCTC12156,1,2,A3,100799.8,1.135200024,,,,,,
NCTC12156,1,3,A1,100799.8,0.99000001,,,,,,
NCTC12156,1,3,A2,100799.8,1.208699942,,,,,,
NCTC12156,1,3,A3,100799.8,1.234699965,,,,,,
NCTC12156,1,1,A1,104399.8,0.886300027,,,,,,
NCTC12156,1,1,A2,104399.8,1.170799971,,,,,,
NCTC12156,1,1,A3,104399.8,1.16170001,,,,,,
NCTC12156,1,2,A1,104399.8,0.923200011,,,,,,
NCTC12156,1,2,A2,104399.8,1.114799976,,,,,,
NCTC12156,1,2,A3,104399.8,1.106299996,,,,,,
NCTC12156,1,3,A1,104399.8,0.927200019,,,,,,
NCTC12156,1,3,A2,104399.8,1.19509995,,,,,,
NCTC12156,1,3,A3,104399.8,1.231999993,,,,,,
NCTC12156,1,1,A1,107999.8,0.823300004,,,,,,
NCTC12156,1,1,A2,107999.8,1.145200014,,,,,,
NCTC12156,1,1,A3,107999.8,1.124300003,,,,,,
NCTC12156,1,2,A1,107999.8,0.895600021,,,,,,
NCTC12156,1,2,A2,107999.8,1.10739994,,,,,,
NCTC12156,1,2,A3,107999.8,1.086500049,,,,,,
NCTC12156,1,3,A1,107999.8,0.886399984,,,,,,
NCTC12156,1,3,A2,107999.8,1.157899976,,,,,,
NCTC12156,1,3,A3,107999.8,1.192399979,,,,,,
NCTC12156,1,1,A1,111599.8,0.788100004,,,,,,
NCTC12156,1,1,A2,111599.8,1.12469995,,,,,,
NCTC12156,1,1,A3,111599.8,1.117900014,,,,,,
NCTC12156,1,2,A1,111599.8,0.859000027,,,,,,
NCTC12156,1,2,A2,111599.8,1.078999996,,,,,,
NCTC12156,1,2,A3,111599.8,1.077999949,,,,,,
NCTC12156,1,3,A1,111599.8,0.838199973,,,,,,
NCTC12156,1,3,A2,111599.8,1.155900002,,,,,,
NCTC12156,1,3,A3,111599.8,1.177999973,,,,,,
NCTC12156,1,1,A1,115199.8,0.737100005,,,,,,
NCTC12156,1,1,A2,115199.8,1.070899963,,,,,,
NCTC12156,1,1,A3,115199.8,1.103800058,,,,,,
NCTC12156,1,2,A1,115199.8,0.808399975,,,,,,
NCTC12156,1,2,A2,115199.8,1.076200008,,,,,,
NCTC12156,1,2,A3,115199.8,1.059999943,,,,,,
NCTC12156,1,3,A1,115199.8,0.760399997,,,,,,
NCTC12156,1,3,A2,115199.8,1.160699964,,,,,,
NCTC12156,1,3,A3,115199.8,1.134199977,,,,,,
NCTC12156,1,1,A1,118799.8,0.70599997,,,,,,
NCTC12156,1,1,A2,118799.8,1.039700031,,,,,,
NCTC12156,1,1,A3,118799.8,1.055899978,,,,,,
NCTC12156,1,2,A1,118799.8,0.783599973,,,,,,
NCTC12156,1,2,A2,118799.8,1.037700057,,,,,,
NCTC12156,1,2,A3,118799.8,1.022400022,,,,,,
NCTC12156,1,3,A1,118799.8,0.743799984,,,,,,
NCTC12156,1,3,A2,118799.8,1.135599971,,,,,,
NCTC12156,1,3,A3,118799.8,1.126099944,,,,,,
NCTC12156,1,1,A1,122400.6,0.720799983,,,,,,
